Nov 07 22:59:26.514  Config           0x000C  RB Meta 02QJ       Connected: 98:59:49:EF:B7:98 - Handle: 0xC - RB Meta 02QJ - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 0C 00 98 B7 EF 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 32 51 4A  
Nov 07 22:59:26.514  Config           0x004A  RB Meta 02QJ       Connected: 98:59:49:EF:B7:98 - Handle: 0x4A - RB Meta 02QJ - 86265FFC-8B17-B70F-35A4-871F42F15702  01 4A 00 0C 52 42 20 4D 65 74 61 20 30 32 51 4A 98 B7 EF 49 59 98 86 26 5F FC 8B 17 B7 0F 35 A4 87 1F 42 F1 57 02  
Nov 07 22:59:26.908  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x003B (59) [ 39 00 55 F5 E4 AB 94 34 BB B3 02 7F 8F 59 87 AF ... ]  4A 20 3F 00 3B 00 4A 00 39 00 55 F5 E4 AB 94 34 BB B3 02 7F 8F 59 87 AF C3 94 67 40 23 05 A1 F7 E8 FC E4 14 96 A0 B8 62 DF 99 6D 65 16 F7 FB 08 2B 7C C7 71 00 AA 38 F9 37 1E 24 BE C7 D2 5F 5E AD AB 59  
Nov 07 22:59:26.909  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 2D 3A 8A F2 3F BA A5 76 03 55 BA DA B4 2C ... ]  4A 20 4F 00 4B 00 4A 00 49 00 2D 3A 8A F2 3F BA A5 76 03 55 BA DA B4 2C 79 A2 2E E5 E0 DE A5 E5 5B 98 82 67 4F 38 04 BA D2 5C 55 F1 59 59 D6 E6 14 A0 D7 9D 9D 05 EF 46 08 1B 89 C1 D1 22 DF 9F 02 D1 69 C6 98 09 4D E7 C9 09 98 61 33 8C E1 A7 4F B4 C6  
Nov 07 22:59:26.909  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 00 CA 4E 96 27 91 60 A0 03 1A 58 88 CD CE ... ]  4A 20 4F 00 4B 00 4A 00 49 00 00 CA 4E 96 27 91 60 A0 03 1A 58 88 CD CE 91 5B 1C BA EA 7A 51 C4 EE 1F E6 A3 BA FE 8E A2 BD 8D D7 CC 5F CD FB 00 85 36 09 85 F2 D4 1D 0A D1 DA 26 10 38 FD 35 25 87 6E F3 0D 44 D9 6E 6B 0E 2D A3 86 C5 AE 16 BF DD E7 8B  
Nov 07 22:59:26.967  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 8C 8F 1B 5D 79 90 39 E6 03 8E 2F 86 D7 40 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 8C 8F 1B 5D 79 90 39 E6 03 8E 2F 86 D7 40 0D 20 0D 5C 24 B5 7C 1F 63 09 D8 75 F9 CA 36 8D 04 A0 E2 40 B8 C5 9E 01 AA 68 A2 42 D1 EF 3E B3 AB 72 C7 BE 06 EF 94 5C B5 99 E1 47 15 73 7E 4E C3 7B 43 B2 9A 56 C4 CD D7 39 84  
Nov 07 22:59:26.968  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 5E 52 26 EE 87 2D D9 8B 03 94 F2 E8 2E 9E ... ]  4A 20 4F 00 4B 00 4A 00 49 00 5E 52 26 EE 87 2D D9 8B 03 94 F2 E8 2E 9E 72 F9 E8 E3 43 8B 62 05 85 B7 67 49 C3 FC 68 8A 1A C7 5C AE 56 08 35 BE CB 4C 02 E3 F1 4C E6 9B E4 59 DB 6D 4A 22 92 41 0D 2D B0 50 6C 1D 50 41 3B CC 7D 6C F5 A6 A9 E8 B0 8C 21  
Nov 07 22:59:26.997  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 FB 81 3E 87 B8 12 EF A8 03 18 8E 86 27 FF ... ]  4A 20 4F 00 4B 00 4A 00 49 00 FB 81 3E 87 B8 12 EF A8 03 18 8E 86 27 FF BB 0E AA 6F C6 31 67 B7 B5 F2 9D 10 00 B7 BA E1 7B DD C5 C8 A8 F9 4D 2E B2 CD 56 D5 4D 47 1B 33 4B 3F 9B 3B 0D F8 C5 5F 0F 15 FB 22 6E 0A 20 25 E7 80 8E C2 44 80 F0 AA 6D 48 94  
Nov 07 22:59:26.999  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 5D 36 A4 1F CD E6 E1 81 03 7F 08 21 C3 CD ... ]  4A 20 4F 00 4B 00 4A 00 49 00 5D 36 A4 1F CD E6 E1 81 03 7F 08 21 C3 CD 3C 3C 99 D8 AC 63 42 33 A4 C2 79 F0 D3 30 41 21 9B 1D DF A6 5B 1A 65 E0 C1 37 26 6A B5 40 A0 2F E2 97 99 DC 58 6D CF 41 D9 21 C8 97 40 A7 06 1A 91 AA A6 36 35 09 A7 B3 4E 62 6A  
Nov 07 22:59:27.028  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 1D 15 BC 0C A2 2F 55 70 03 A7 5C C3 F6 71 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 1D 15 BC 0C A2 2F 55 70 03 A7 5C C3 F6 71 D4 86 F6 B4 B4 C1 E7 B8 8E F1 6D 89 72 FD A6 40 F1 E3 F0 BD D6 74 DA B7 37 7A 61 FD 18 8D 1D EC 13 45 B7 00 6D 75 82 4F 85 CD AB 2C 60 8A 2A CA FA B1 ED B5 25 3C 4B 75 BF AD 37  
Nov 07 22:59:27.030  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 DE 24 78 85 CD D7 28 D6 03 58 A8 83 4B 0B ... ]  4A 20 4F 00 4B 00 4A 00 49 00 DE 24 78 85 CD D7 28 D6 03 58 A8 83 4B 0B 19 84 DA 0E 1B 49 EA AE 81 32 B1 69 64 F8 6D 35 B0 73 A4 E3 DE 64 2E CA F6 E2 70 18 19 69 44 6A CF 17 49 0B 07 43 B2 2F EB 62 1C F4 2B D1 C3 45 E9 24 FF 18 B4 D5 B4 73 79 EE FE  
Nov 07 22:59:27.087  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x005B (91) [ 59 00 9A 5B 95 2C 3D 78 65 17 04 AB 81 2E D4 E1 ... ]  4A 20 5F 00 5B 00 4A 00 59 00 9A 5B 95 2C 3D 78 65 17 04 AB 81 2E D4 E1 62 72 A3 B6 46 78 C6 DE 4F B5 03 BF 53 40 D4 B3 39 08 0B F7 2A A6 FF 40 5B 77 98 60 61 88 9B C2 2B D6 49 30 01 13 9D 52 59 89 23 2A 6F 80 79 F9 42 02 4D 1B E0 F1 95 DF 1F 57 6C 15 75 09 D9 68 50 09 8C D2 1B 1A F8 C2 85 03 87  
Nov 07 22:59:27.089  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x003B (59) [ 39 00 BF C0 E4 55 05 A2 23 FE 02 12 CE B3 4C B9 ... ]  4A 20 3F 00 3B 00 4A 00 39 00 BF C0 E4 55 05 A2 23 FE 02 12 CE B3 4C B9 8D 47 17 1B 12 77 58 08 2C 48 78 9E D3 3D 64 FD 08 C5 CD D0 21 68 10 DA E5 68 7A B1 91 7D 89 DF 7E 35 FA 7A D0 2D 7E C8 47 C1 B4  
Nov 07 22:59:27.148  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 D1 39 CB 9E 0A E7 E0 6E 03 4C DD 7C 2D F8 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 D1 39 CB 9E 0A E7 E0 6E 03 4C DD 7C 2D F8 9A 04 74 1F B4 E6 11 D7 8C 29 BA 11 D8 A7 D2 13 F4 0B 5B BC D0 A5 4D B9 D5 4F 83 57 60 BC E1 F2 8A B8 DC 3F C4 44 0A 9B 3D 17 5E F0 B1 B3 38 8E 52 ED B9 0D 05 F2 7E 17 0C 38 9C  
Nov 07 22:59:27.149  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 CB 86 B8 CF CA 70 23 CD 03 82 74 E8 FE C2 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 CB 86 B8 CF CA 70 23 CD 03 82 74 E8 FE C2 86 C8 FB A7 02 5E 50 D7 E0 73 BB F8 70 B0 79 5C 1B 04 8B 57 F6 A7 41 48 58 83 BD 8B 20 9F A4 31 FB 9C 37 5C 65 9A E1 5A D9 AC 7C 25 42 CB AF 4B 7F B6 97 FB 86 FE C7 7B 68 C5 2A  
