Voltage,Percentage,Temperature,Elapsed Time
3813,48,2530.0,3006.266
3813,48,2530.0,3006.788
3812,48,2520.0,3026.691
3812,48,2520.0,3027.197
3812,48,2520.0,3035.66
3812,48,2520.0,3035.682
3812,48,2520.0,3036.207
3779,48,2530.0,3036.783
3779,48,2530.0,3037.322
3779,48,2530.0,3064.379
3779,48,2530.0,3064.426
3779,48,2530.0,3064.473
3779,48,2530.0,3064.523
3779,48,2530.0,3065.032
3779,47,2530.0,3066.617
3779,47,2530.0,3067.131
3803,47,2520.0,3108.15
3803,47,2520.0,3108.671
3803,46,2520.0,3158.379
3803,46,2520.0,3158.924
3803,46,2520.0,3200.888
3803,46,2520.0,3200.984
3803,46,2520.0,3201.028
3803,46,2520.0,3201.543
3767,46,2530.0,3220.381
3767,46,2530.0,3220.89
3767,46,2530.0,3222.625
3767,46,2530.0,3222.723
3767,46,2530.0,3222.768
3767,46,2530.0,3222.818
3767,46,2530.0,3223.331
3782,46,2520.0,3230.523
3782,46,2520.0,3231.035
3782,45,2520.0,3236.18
3782,45,2520.0,3236.696
3782,45,2520.0,3268.157
3782,45,2520.0,3268.252
3782,45,2520.0,3268.358
3782,45,2520.0,3268.875
3756,45,2530.0,3271.373
3756,45,2530.0,3271.895
3751,45,2540.0,3281.521
3751,45,2540.0,3282.031
3751,45,2540.0,3301.211
3751,45,2540.0,3301.261
3751,45,2540.0,3301.275
3751,45,2540.0,3301.31
3762,45,2550.0,3301.798
3762,45,2550.0,3302.308
3762,44,2550.0,3305.711
3762,44,2550.0,3306.227
3782,44,2560.0,3342.554
3782,44,2560.0,3343.068
3782,44,2560.0,3351.625
3782,44,2560.0,3351.671
3782,44,2560.0,3351.714
3782,44,2560.0,3352.229
3751,44,2570.0,3352.739
3751,44,2570.0,3353.257
3742,44,2580.0,3373.267
3742,44,2580.0,3373.777
3742,44,2580.0,3375.899
3742,44,2580.0,3375.951
3742,44,2580.0,3375.974
3742,44,2580.0,3376.482
3742,44,2580.0,3378.775
3742,44,2580.0,3378.825
3742,44,2580.0,3378.921
3742,43,2580.0,3379.373
3742,43,2580.0,3379.893
3749,43,2590.0,3383.259
3749,43,2590.0,3383.771
3725,43,2600.0,3403.589
3725,43,2600.0,3404.103
3726,42,2610.0,3434.215
3726,42,2610.0,3434.226
3726,42,2610.0,3434.735
3726,42,2610.0,3439.561
3726,42,2610.0,3439.659
3726,42,2610.0,3439.664
3726,42,2610.0,3440.169
3726,42,2610.0,3442.298
3726,42,2610.0,3442.345
3726,42,2610.0,3442.395
3726,42,2610.0,3442.907
3738,42,2620.0,3464.678
3738,42,2620.0,3465.189
3738,42,2620.0,3476.717
3738,42,2620.0,3476.81
3738,42,2620.0,3476.863
3738,42,2620.0,3476.91
3738,42,2620.0,3477.423
3738,41,2620.0,3496.218
3738,41,2620.0,3496.734
3738,41,2620.0,3516.612
3738,41,2620.0,3516.692
3738,41,2620.0,3516.741
3738,41,2620.0,3517.253
3726,41,2630.0,3525.759
3726,41,2630.0,3526.274
3739,41,2640.0,3535.959
3739,41,2640.0,3536.478
3739,41,2640.0,3556.38
3739,41,2640.0,3556.473
3739,41,2640.0,3556.522
3739,41,2640.0,3556.533
3739,41,2640.0,3557.042
3739,40,2640.0,3560.179
3739,40,2640.0,3560.689
3739,40,2640.0,3561.505
3739,40,2640.0,3561.554
3739,40,2640.0,3561.641
3739,40,2640.0,3562.152
3721,40,2650.0,3566.515
3721,40,2650.0,3567.028
3721,40,2650.0,3582.314
3721,40,2650.0,3582.331
3721,40,2650.0,3582.359
3721,40,2650.0,3582.458
3721,40,2650.0,3582.971
3721,40,2650.0,3584.851
3721,40,2650.0,3584.897
3721,40,2650.0,3584.99
3721,40,2650.0,3585.5
3714,40,2660.0,3586.796
3714,40,2660.0,3587.31
3714,40,2660.0,3611.901
3714,40,2660.0,3611.957
3714,40,2660.0,3612.003
3714,40,2660.0,3612.053
3714,40,2660.0,3612.56
3714,39,2660.0,3614.442
3714,39,2660.0,3614.743
3714,39,2660.0,3614.832
3714,39,2660.0,3614.878
3714,39,2660.0,3615.384
3719,39,2670.0,3627.453
3719,39,2670.0,3627.967
3719,39,2670.0,3639.3
3719,39,2670.0,3639.351
3719,39,2670.0,3639.398
3719,39,2670.0,3639.411
3719,39,2670.0,3639.919
3719,39,2670.0,3642.371
3719,39,2670.0,3642.421
3719,39,2670.0,3642.469
3719,39,2670.0,3642.978
3711,39,2680.0,3657.941
3711,39,2680.0,3658.459
3711,38,2680.0,3668.113
3711,38,2680.0,3668.628
3711,38,2680.0,3688.588
3711,38,2680.0,3688.687
3711,38,2680.0,3688.737
3711,38,2680.0,3688.752
3711,38,2680.0,3689.262
3711,38,2680.0,3691.672
3711,38,2680.0,3691.71
3711,38,2680.0,3691.756
3711,38,2680.0,3692.273
3711,38,2680.0,3722.128
3711,38,2680.0,3722.138
3711,38,2680.0,3722.178
3711,38,2680.0,3722.227
3711,38,2680.0,3722.472
3711,38,2680.0,3722.494
3711,38,2680.0,3722.523
3711,37,2680.0,3722.667
3711,37,2680.0,3723.18
3711,37,2680.0,3787.664
3711,37,2680.0,3787.669
3711,37,2680.0,3787.674
3711,37,2680.0,3787.684
3711,37,2680.0,3787.698
3711,37,2680.0,3788.209
3705,37,2690.0,3799.712
3705,37,2690.0,3800.217
3705,36,2690.0,3802.377
3705,36,2690.0,3802.898
3693,36,2680.0,3811.151
3693,36,2680.0,3811.661
3693,36,2680.0,3815.343
3693,36,2680.0,3815.437
3693,36,2680.0,3815.538
3693,36,2680.0,3815.586
3693,36,2680.0,3815.634
3693,36,2680.0,3815.688
3693,36,2680.0,3815.734
3664,36,2690.0,3815.883
3664,36,2690.0,3816.024
3664,36,2690.0,3816.222
3664,36,2690.0,3816.277
3664,36,2690.0,3816.417
3664,36,2690.0,3816.541
3664,36,2690.0,3816.56
3664,36,2690.0,3817.069
3664,35,2690.0,3826.947
3664,35,2690.0,3827.462
3688,35,2680.0,3840.893
3688,35,2680.0,3841.407
3688,35,2680.0,3846.349
3688,35,2680.0,3846.452
3688,35,2680.0,3846.491
3688,35,2680.0,3846.504
3688,35,2680.0,3847.018
3688,35,2680.0,3852.491
3688,35,2680.0,3852.54
