Timestamp,Voltage,Percentage,Temperature,Elapsed Time,Low Point
2023-10-13 14:10:17.327667,4030,100,25.6,16.48366758395377,
2023-10-13 14:10:17.328355,4030,100,25.6,16.484355090943424,
2023-10-13 14:10:17.330417,4030,100,25.6,16.486417611912387,
2023-10-13 14:10:17.330417,4030,100,25.6,16.486417611912387,
2023-10-13 14:10:17.331105,4030,100,25.6,16.487105118902043,
2023-10-13 14:10:17.332480,4030,100,25.6,16.488480132881353,
2023-10-13 14:10:17.333167,4030,100,25.6,16.489167639871006,
2023-10-13 14:10:17.333167,4030,100,25.6,16.489167639871006,
2023-10-13 14:10:17.333855,4030,100,25.6,16.48985514686066,
2023-10-13 14:10:17.334542,4030,100,25.6,16.490542653850316,
2023-10-13 14:10:17.351730,4030,100,25.6,16.507730328591673,
2023-10-13 14:10:17.679671,4030,100,25.6,16.83567116265682,
2023-10-13 14:10:18.030299,4030,100,25.6,17.18629972738056,
2023-10-13 14:10:18.030987,4030,100,25.6,17.186987234370214,
2023-10-13 14:10:18.030987,4030,100,25.6,17.186987234370214,
2023-10-13 14:10:18.032362,4030,100,25.6,17.188362248349527,
2023-10-13 14:10:18.033737,4030,100,25.6,17.189737262328833,
2023-10-13 14:10:18.035112,4030,100,25.6,17.191112276308143,
2023-10-13 14:10:18.035799,4030,100,25.6,17.191799783297796,
2023-10-13 14:10:18.035799,4030,100,25.6,17.191799783297796,
2023-10-13 14:10:18.040612,4030,100,25.6,17.196612332225378,
2023-10-13 14:10:18.319740,4030,100,25.6,17.475740170025063,
2023-10-13 14:10:18.678618,4030,100,25.6,17.834618818624655,
2023-10-13 14:10:18.679306,4030,100,25.6,17.83530632561431,
2023-10-13 14:10:18.679993,4030,100,25.6,17.835993832603965,
2023-10-13 14:10:18.679993,4030,100,25.6,17.835993832603965,
2023-10-13 14:10:18.684118,4030,100,25.6,17.840118874541893,
2023-10-13 14:10:18.684806,4030,100,25.6,17.840806381531547,
2023-10-13 14:10:18.684806,4030,100,25.6,17.840806381531547,
2023-10-13 14:10:18.685493,4030,100,25.6,17.8414938885212,
2023-10-13 14:10:18.685493,4030,100,25.6,17.8414938885212,
2023-10-13 14:10:18.723994,4030,100,25.6,17.879994279941847,
2023-10-13 14:10:19.071872,4030,100,25.6,18.22787281670697,
2023-10-13 14:10:19.073247,4030,100,25.6,18.22924783068628,
2023-10-13 14:10:19.073935,4030,100,25.6,18.229935337675933,
2023-10-13 14:10:19.074622,4030,100,25.6,18.230622844665586,
2023-10-13 14:10:19.075310,4030,100,25.6,18.231310351655242,
2023-10-13 14:10:19.075997,4030,100,25.6,18.231997858644895,
2023-10-13 14:10:19.076685,4030,100,25.6,18.232685365634552,
2023-10-13 14:10:19.076685,4030,100,25.6,18.232685365634552,
2023-10-13 14:10:19.077372,4030,100,25.6,18.233372872624205,
2023-10-13 14:10:19.366813,4030,100,25.6,18.522813315268706,
2023-10-13 14:10:19.714004,4030,100,25.6,18.870004345044173,
2023-10-13 14:10:19.715379,4030,100,25.6,18.871379359023486,
2023-10-13 14:10:19.716066,4030,100,25.6,18.87206686601314,
2023-10-13 14:10:19.716754,4030,100,25.6,18.872754373002792,
2023-10-13 14:10:19.718816,4030,100,25.6,18.874816893971754,
2023-10-13 14:10:19.720879,4030,100,25.6,18.87687941494072,
2023-10-13 14:10:19.721566,4030,100,25.6,18.877566921930374,
2023-10-13 14:10:19.721566,4030,100,25.6,18.877566921930374,
2023-10-13 14:10:19.721566,4030,100,25.6,18.877566921930374,
2023-10-13 14:10:19.722941,4030,100,25.6,18.878941935909683,
2023-10-13 14:10:19.738754,4030,100,25.6,18.894754596671735,
2023-10-13 14:10:20.088695,4030,100,25.6,19.24469565440582,
2023-10-13 14:10:20.091445,4030,100,25.6,19.247445682364436,
2023-10-13 14:10:20.092133,4030,100,25.6,19.248133189354093,
2023-10-13 14:10:20.092820,4030,100,25.6,19.248820696343746,
2023-10-13 14:10:20.094883,4030,100,25.6,19.250883217312712,
2023-10-13 14:10:20.095570,4030,100,25.6,19.251570724302365,
2023-10-13 14:10:20.095570,4030,100,25.6,19.251570724302365,
2023-10-13 14:10:20.096258,4030,100,25.6,19.252258231292018,
2023-10-13 14:10:20.096945,4030,100,25.6,19.252945738281674,
2023-10-13 14:10:20.422136,4030,100,25.6,19.5781365443882,
2023-10-13 14:10:20.767952,4030,100,25.6,19.92395256018436,
2023-10-13 14:10:20.768640,4030,100,25.6,19.924640067174018,
2023-10-13 14:10:20.769327,4030,100,25.6,19.92532757416367,
2023-10-13 14:10:20.769327,4030,100,25.6,19.92532757416367,
2023-10-13 14:10:20.770015,4030,100,25.6,19.926015081153327,
2023-10-13 14:10:20.771390,4030,100,25.6,19.927390095132633,
2023-10-13 14:10:20.771390,4030,100,25.6,19.927390095132633,
2023-10-13 14:10:20.772077,4030,100,25.6,19.92807760212229,
2023-10-13 14:10:20.772077,4030,100,25.6,19.92807760212229,
2023-10-13 14:10:21.427271,4030,100,25.6,20.58327176326293,
2023-10-13 14:10:21.620461,4030,100,25.6,20.77646122735581,
2023-10-13 14:10:21.753150,4030,100,25.6,20.90915007635911,
2023-10-13 14:10:22.107903,4030,100,25.6,21.263903683020775,
2023-10-13 14:10:22.108591,4030,100,25.6,21.26459119001043,
2023-10-13 14:10:22.108591,4030,100,25.6,21.26459119001043,
2023-10-13 14:10:22.109278,4030,100,25.6,21.265278697000088,
2023-10-13 14:10:22.112028,4030,100,25.6,21.268028724958704,
2023-10-13 14:10:22.112716,4030,100,25.6,21.268716231948357,
2023-10-13 14:10:22.112716,4030,100,25.6,21.268716231948357,
2023-10-13 14:10:22.113403,4030,100,25.6,21.269403738938014,
2023-10-13 14:10:22.114091,4030,100,25.6,21.270091245927667,
2023-10-13 14:10:22.816723,4030,100,25.6,21.97272338935446,
2023-10-13 14:10:23.162539,4030,100,25.6,22.31853940515062,
2023-10-13 14:10:23.163226,4030,100,25.6,22.319226912140273,
2023-10-13 14:10:23.163914,4030,100,25.6,22.31991441912993,
2023-10-13 14:10:23.165289,4030,100,25.6,22.321289433109236,
2023-10-13 14:10:23.169414,4030,100,25.6,22.32541447504716,
2023-10-13 14:10:23.170101,4030,100,25.6,22.326101982036814,
2023-10-13 14:10:23.170101,4030,100,25.6,22.326101982036814,
2023-10-13 14:10:23.173539,4030,100,25.6,22.32953951698509,
2023-10-13 14:10:23.174227,4030,100,25.6,22.330227023974743,
2023-10-13 14:10:25.210622,4030,100,25.6,24.366622727331062,
2023-10-13 14:10:25.558501,4030,100,25.6,24.714501264096185,
2023-10-13 14:10:25.559876,4030,100,25.6,24.715876278075495,
2023-10-13 14:10:25.560563,4030,100,25.6,24.716563785065148,
2023-10-13 14:10:25.561251,4030,100,25.6,24.7172512920548,
2023-10-13 14:10:25.564688,4030,100,25.6,24.720688827003077,
