Bitrate_Mbps,CDF
2.114936,0.6351931330472103
2.117336,0.6373390557939914
2.117888,0.6394849785407726
2.122936,0.6416309012875536
2.125312,0.6437768240343348
2.12552,0.6459227467811158
2.126888,0.648068669527897
2.129504,0.6502145922746781
2.13196,0.6523605150214592
2.136416,0.6545064377682404
2.138544,0.6566523605150214
2.13868,0.6587982832618026
2.146792,0.6609442060085837
2.163744,0.6630901287553648
2.182784,0.6652360515021459
2.183112,0.6673819742489271
2.184536,0.6695278969957081
2.185704,0.6716738197424893
2.190792,0.6738197424892703
2.20056,0.6759656652360515
2.203712,0.6781115879828327
2.204848,0.6802575107296137
2.206608,0.6824034334763949
2.211976,0.6845493562231759
2.21516,0.6866952789699571
2.22372,0.6888412017167382
2.226552,0.6909871244635193
2.227904,0.6931330472103004
2.23448,0.6952789699570815
2.23712,0.6974248927038627
2.242512,0.6995708154506438
2.245352,0.7017167381974249
2.249896,0.703862660944206
2.2618,0.7060085836909872
2.262296,0.7081545064377682
2.263248,0.7103004291845494
2.267384,0.7124463519313304
2.269688,0.7145922746781116
2.272056,0.7167381974248928
2.27308,0.7188841201716738
2.274304,0.721030042918455
2.283464,0.723175965665236
2.28952,0.7253218884120172
2.292464,0.7274678111587983
2.296144,0.7296137339055794
2.301968,0.7317596566523605
2.303144,0.7339055793991416
2.31484,0.7360515021459227
2.3194,0.7381974248927039
2.321408,0.740343347639485
2.326144,0.7424892703862661
2.3286,0.7446351931330472
2.332504,0.7467811158798283
2.333416,0.7489270386266095
2.335784,0.7510729613733905
2.34016,0.7532188841201717
2.353432,0.7553648068669528
2.35804,0.7575107296137339
2.368448,0.759656652360515
2.36936,0.7618025751072961
2.37148,0.7639484978540773
2.374128,0.7660944206008584
2.378024,0.7682403433476395
2.378416,0.7703862660944206
2.38076,0.7725321888412017
2.389584,0.7746781115879828
2.391384,0.776824034334764
2.395528,0.778969957081545
2.406448,0.7811158798283262
2.415456,0.7832618025751072
2.415904,0.7854077253218884
2.428872,0.7875536480686696
2.430864,0.7896995708154506
2.436048,0.7918454935622318
2.444512,0.7939914163090128
2.446792,0.796137339055794
2.449176,0.7982832618025751
2.455176,0.8004291845493562
2.463464,0.8025751072961373
2.466696,0.8047210300429185
2.471,0.8068669527896996
2.479952,0.8090128755364807
2.480056,0.8111587982832618
2.481672,0.8133047210300429
2.483776,0.8154506437768241
2.488088,0.8175965665236051
2.499248,0.8197424892703863
2.513016,0.8218884120171673
2.513544,0.8240343347639485
2.513816,0.8261802575107297
2.514832,0.8283261802575107
2.514896,0.8304721030042919
2.516408,0.8326180257510729
2.517656,0.8347639484978541
2.51916,0.8369098712446352
2.51976,0.8390557939914163
2.519952,0.8412017167381974
2.522288,0.8433476394849786
2.52244,0.8454935622317596
2.529928,0.8476394849785408
2.539664,0.8497854077253219
2.566824,0.851931330472103
2.57116,0.8540772532188842
2.579024,0.8562231759656652
2.579808,0.8583690987124464
2.5882,0.8605150214592274
2.596032,0.8626609442060086
2.602832,0.8648068669527897
2.60428,0.8669527896995708
2.606056,0.869098712446352
2.616544,0.871244635193133
2.62264,0.8733905579399142
2.628272,0.8755364806866953
2.633344,0.8776824034334764
2.63884,0.8798283261802575
2.647328,0.8819742489270386
