Average_Bitrate_Mbps,CDF
1.89469,0.5825932504440497
1.89478,0.5843694493783304
1.89645,0.5861456483126111
1.89888,0.5879218472468917
1.89939,0.5896980461811723
1.90253,0.5914742451154529
1.90266,0.5932504440497336
1.9047,0.5950266429840142
1.90576,0.5968028419182948
1.90768,0.5985790408525755
1.90979,0.6003552397868561
1.91056,0.6021314387211367
1.91392,0.6039076376554174
1.91437,0.605683836589698
1.91645,0.6074600355239786
1.91766,0.6092362344582594
1.91779,0.61101243339254
1.92214,0.6127886323268206
1.92262,0.6145648312611013
1.92323,0.6163410301953819
1.92464,0.6181172291296625
1.92579,0.6198934280639432
1.92608,0.6216696269982238
1.92662,0.6234458259325044
1.92714,0.6252220248667851
1.92733,0.6269982238010657
1.9287,0.6287744227353463
1.93219,0.6305506216696269
1.93251,0.6323268206039077
1.93344,0.6341030195381883
1.93491,0.6358792184724689
1.93552,0.6376554174067496
1.93581,0.6394316163410302
1.93661,0.6412078152753108
1.93709,0.6429840142095915
1.93827,0.6447602131438721
1.94048,0.6465364120781527
1.94064,0.6483126110124334
1.94077,0.650088809946714
1.94173,0.6518650088809946
1.94234,0.6536412078152753
1.94278,0.655417406749556
1.94282,0.6571936056838366
1.9455,0.6589698046181173
1.94586,0.6607460035523979
1.94662,0.6625222024866785
1.94758,0.6642984014209592
1.94765,0.6660746003552398
1.95101,0.6678507992895204
1.95229,0.6696269982238011
1.95504,0.6714031971580817
1.9568,0.6731793960923623
1.95891,0.6749555950266429
1.95984,0.6767317939609236
1.96211,0.6785079928952042
1.96365,0.6802841918294849
1.9641,0.6820603907637656
1.96442,0.6838365896980462
1.9649,0.6856127886323268
1.96502,0.6873889875666075
1.96528,0.6891651865008881
1.96669,0.6909413854351687
1.96864,0.6927175843694494
1.96883,0.69449378330373
1.96893,0.6962699822380106
1.96909,0.6980461811722913
1.97008,0.6998223801065719
1.97018,0.7015985790408525
1.97066,0.7033747779751333
1.97072,0.7051509769094139
1.97104,0.7069271758436945
1.9712,0.7087033747779752
1.9719,0.7104795737122558
1.97251,0.7122557726465364
1.97338,0.7140319715808171
1.97504,0.7158081705150977
1.97587,0.7175843694493783
1.97622,0.7193605683836589
1.97664,0.7211367673179396
1.98957,0.7229129662522202
1.98957,0.7246891651865008
1.98976,0.7264653641207816
1.99002,0.7282415630550622
1.99037,0.7300177619893428
1.99059,0.7317939609236235
1.99146,0.7335701598579041
1.99162,0.7353463587921847
1.99187,0.7371225577264654
1.99229,0.738898756660746
1.99242,0.7406749555950266
1.99376,0.7424511545293073
1.99446,0.7442273534635879
1.99494,0.7460035523978685
1.9953,0.7477797513321492
1.99731,0.7495559502664298
1.99894,0.7513321492007105
1.99904,0.7531083481349912
1.9991,0.7548845470692718
1.99914,0.7566607460035524
2.00154,0.7584369449378331
2.00166,0.7602131438721137
2.00294,0.7619893428063943
2.00298,0.7637655417406749
2.00317,0.7655417406749556
2.00419,0.7673179396092362
2.00448,0.7690941385435168
2.00586,0.7708703374777975
2.00618,0.7726465364120781
2.00694,0.7744227353463587
2.00736,0.7761989342806395
2.00838,0.7779751332149201
2.00861,0.7797513321492007
2.0112,0.7815275310834814
2.0121,0.783303730017762
2.01264,0.7850799289520426
2.01475,0.7868561278863233
2.01514,0.7886323268206039
2.01574,0.7904085257548845
2.01654,0.7921847246891652
2.01805,0.7939609236234458
2.0192,0.7957371225577264
2.01955,0.7975133214920072
2.01965,0.7992895204262878
2.02067,0.8010657193605684
2.02202,0.8028419182948491
2.02256,0.8046181172291297
2.02547,0.8063943161634103
2.02682,0.8081705150976909
2.02858,0.8099467140319716
2.02861,0.8117229129662522
2.02931,0.8134991119005328
2.03107,0.8152753108348135
2.03216,0.8170515097690941
2.03232,0.8188277087033747
2.0327,0.8206039076376554
2.03306,0.822380106571936
2.03357,0.8241563055062167
2.03402,0.8259325044404974
2.03482,0.827708703374778
2.03517,0.8294849023090586
2.03565,0.8312611012433393
2.03936,0.8330373001776199
2.04019,0.8348134991119005
2.04237,0.8365896980461812
2.04525,0.8383658969804618
2.04557,0.8401420959147424
2.04666,0.8419182948490231
2.04886,0.8436944937833037
2.04915,0.8454706927175843
2.04954,0.8472468916518651
2.04957,0.8490230905861457
2.05021,0.8507992895204263
2.0511,0.8525754884547069
2.05123,0.8543516873889876
2.05178,0.8561278863232682
2.05184,0.8579040852575488
2.05197,0.8596802841918295
2.05386,0.8614564831261101
2.05398,0.8632326820603907
2.05478,0.8650088809946714
2.0552,0.866785079928952
2.05712,0.8685612788632326
2.05837,0.8703374777975134
2.0593,0.872113676731794
2.05933,0.8738898756660746
2.05971,0.8756660746003553
2.06022,0.8774422735346359
2.0608,0.8792184724689165
2.06131,0.8809946714031972
2.06218,0.8827708703374778
2.06298,0.8845470692717584
2.06307,0.8863232682060391
2.06326,0.8880994671403197
2.06538,0.8898756660746003
2.06582,0.8916518650088809
2.06867,0.8934280639431617
2.06979,0.8952042628774423
2.07251,0.8969804618117229
2.07414,0.8987566607460036
2.07578,0.9005328596802842
2.07856,0.9023090586145648
2.0793,0.9040852575488455
2.07955,0.9058614564831261
2.07971,0.9076376554174067
2.08016,0.9094138543516874
2.08058,0.911190053285968
2.08288,0.9129662522202486
2.08531,0.9147424511545293
2.09088,0.91651865008881
2.09216,0.9182948490230906
2.09299,0.9200710479573713
2.09373,0.9218472468916519
2.09542,0.9236234458259325
2.09552,0.9253996447602132
2.09632,0.9271758436944938
2.09814,0.9289520426287744
2.09994,0.9307282415630551
